block_identifier,type_code,theme_path,title,page_groups,sort_order
contact-us-info,cms_static_block,frontend/Magento/luma,"Contact us info","a:1:{i:0;a:2:{s:10:""page_group"";s:5:""pages"";s:5:""pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:19:""contact_index_index"";s:5:""block"";s:11:""content.top"";}}}",0
footer_links_block,cms_static_block,frontend/Magento/luma,"Footer Links","a:1:{i:0;a:2:{s:10:""page_group"";s:9:""all_pages"";s:9:""all_pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:7:""default"";s:5:""block"";s:26:""cms_footer_links_container"";}}}",0
sale-left-menu-block,cms_static_block,frontend/Magento/luma,"Sale Left Menu","a:1:{i:0;a:2:{s:10:""page_group"";s:17:""anchor_categories"";s:17:""anchor_categories"";a:3:{s:3:""for"";s:8:""specific"";s:13:""layout_handle"";s:34:""catalog_category_view_type_layered"";s:5:""block"";s:12:""sidebar.main"";}}}",0
gear-left-menu-block,cms_static_block,frontend/Magento/luma,"Gear Left Menu","a:1:{i:0;a:2:{s:10:""page_group"";s:17:""anchor_categories"";s:17:""anchor_categories"";a:3:{s:3:""for"";s:8:""specific"";s:13:""layout_handle"";s:34:""catalog_category_view_type_layered"";s:5:""block"";s:12:""sidebar.main"";}}}",0
men-left-menu-block,cms_static_block,frontend/Magento/luma,"Men's Left Menu","a:1:{i:0;a:2:{s:10:""page_group"";s:17:""anchor_categories"";s:17:""anchor_categories"";a:3:{s:3:""for"";s:8:""specific"";s:13:""layout_handle"";s:34:""catalog_category_view_type_layered"";s:5:""block"";s:12:""sidebar.main"";}}}",0
women-left-menu-block,cms_static_block,frontend/Magento/luma,"Women's Left Menu","a:1:{i:0;a:2:{s:10:""page_group"";s:17:""anchor_categories"";s:17:""anchor_categories"";a:3:{s:3:""for"";s:8:""specific"";s:13:""layout_handle"";s:34:""catalog_category_view_type_layered"";s:5:""block"";s:12:""sidebar.main"";}}}",0
new-left-menu-block,cms_static_block,frontend/Magento/luma,"What's New Left Menu","a:1:{i:0;a:2:{s:10:""page_group"";s:17:""anchor_categories"";s:17:""anchor_categories"";a:3:{s:3:""for"";s:8:""specific"";s:13:""layout_handle"";s:34:""catalog_category_view_type_layered"";s:5:""block"";s:12:""sidebar.main"";}}}",0
women-block,cms_static_block,frontend/Magento/luma,"Women Category Content","a:1:{i:0;a:2:{s:10:""page_group"";s:17:""anchor_categories"";s:17:""anchor_categories"";a:3:{s:3:""for"";s:8:""specific"";s:13:""layout_handle"";s:34:""catalog_category_view_type_layered"";s:5:""block"";s:11:""content.top"";}}}",0
training-block,cms_static_block,frontend/Magento/luma,"Training Category Content","a:1:{i:0;a:2:{s:10:""page_group"";s:17:""anchor_categories"";s:17:""anchor_categories"";a:3:{s:3:""for"";s:8:""specific"";s:13:""layout_handle"";s:34:""catalog_category_view_type_layered"";s:5:""block"";s:11:""content.top"";}}}",0
men-block,cms_static_block,frontend/Magento/luma,"Men Category Content","a:1:{i:0;a:2:{s:10:""page_group"";s:17:""anchor_categories"";s:17:""anchor_categories"";a:3:{s:3:""for"";s:8:""specific"";s:13:""layout_handle"";s:34:""catalog_category_view_type_layered"";s:5:""block"";s:11:""content.top"";}}}",0
gear-block,cms_static_block,frontend/Magento/luma,"Gear Category Content","a:1:{i:0;a:2:{s:10:""page_group"";s:17:""anchor_categories"";s:17:""anchor_categories"";a:3:{s:3:""for"";s:8:""specific"";s:13:""layout_handle"";s:34:""catalog_category_view_type_layered"";s:5:""block"";s:11:""content.top"";}}}",0
new-block,cms_static_block,frontend/Magento/luma,"New Products Category Content","a:1:{i:0;a:2:{s:10:""page_group"";s:17:""anchor_categories"";s:17:""anchor_categories"";a:3:{s:3:""for"";s:8:""specific"";s:13:""layout_handle"";s:34:""catalog_category_view_type_layered"";s:5:""block"";s:11:""content.top"";}}}",0
sale-block,cms_static_block,frontend/Magento/luma,"Sale Category Content","a:1:{i:0;a:2:{s:10:""page_group"";s:17:""anchor_categories"";s:17:""anchor_categories"";a:3:{s:3:""for"";s:8:""specific"";s:13:""layout_handle"";s:34:""catalog_category_view_type_layered"";s:5:""block"";s:11:""content.top"";}}}",0
home-page-block,cms_static_block,frontend/Magento/luma,"Home Page","a:1:{i:0;a:2:{s:10:""page_group"";s:5:""pages"";s:5:""pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:15:""cms_index_index"";s:5:""block"";s:7:""content"";}}}",0
performance-fabrics-block,cms_static_block,frontend/Magento/luma,"Performance Fabrics","a:1:{i:0;a:2:{s:10:""page_group"";s:17:""anchor_categories"";s:17:""anchor_categories"";a:3:{s:3:""for"";s:8:""specific"";s:13:""layout_handle"";s:34:""catalog_category_view_type_layered"";s:5:""block"";s:11:""content.top"";}}}",0
eco-friendly-block,cms_static_block,frontend/Magento/luma,"Eco Friendly","a:1:{i:0;a:2:{s:10:""page_group"";s:17:""anchor_categories"";s:17:""anchor_categories"";a:3:{s:3:""for"";s:8:""specific"";s:13:""layout_handle"";s:34:""catalog_category_view_type_layered"";s:5:""block"";s:11:""content.top"";}}}",0
login-data,cms_static_block,frontend/Magento/luma,"Login Info","a:1:{i:0;a:2:{s:10:""page_group"";s:5:""pages"";s:5:""pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:22:""customer_account_login"";s:5:""block"";s:24:""customer.login.container"";}}}",0
giftcard-block,cms_static_block,frontend/Magento/luma,"Giftcard Category Content","a:1:{i:0;a:2:{s:10:""page_group"";s:17:""anchor_categories"";s:17:""anchor_categories"";a:3:{s:3:""for"";s:8:""specific"";s:13:""layout_handle"";s:34:""catalog_category_view_type_layered"";s:5:""block"";s:11:""content.top"";}}}",0
em0156-hellomarketsidebar-main-content-top-left-vertical-menu,cms_static_block,frontend/Emthemes/hellomarket_hellomarketsidebar,"EM0156 HelloMarket - Sidebar Store - Main Content Top Left - Vertical Menu","a:2:{i:0;a:2:{s:10:""page_group"";s:5:""pages"";s:5:""pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:15:""cms_index_index"";s:5:""block"";s:21:""main.content.top.left"";}}i:1;a:2:{s:10:""page_group"";s:9:""all_pages"";s:9:""all_pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:7:""default"";s:5:""block"";s:21:""topVerticalNavigation"";}}}",0
em0156-hellomarketsidebar-main-content-top-left-banners-and-new-products-review,cms_static_block,frontend/Emthemes/hellomarket_hellomarketsidebar,"EM0156 HelloMarket - Sidebar Store - Main Content Top Left - Banners And New Products","a:1:{i:0;a:2:{s:10:""page_group"";s:5:""pages"";s:5:""pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:15:""cms_index_index"";s:5:""block"";s:23:""main.top.left.scrollbar"";}}}",2
em0156-hellomarketsidebar-main-content-top-right-main-slideshow`,cms_static_block,frontend/Emthemes/hellomarket_hellomarketsidebar,"EM0156 HelloMarket - Sidebar Store - Main Content Top Right - Main Slideshow","a:1:{i:0;a:2:{s:10:""page_group"";s:5:""pages"";s:5:""pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:15:""cms_index_index"";s:5:""block"";s:32:""main.content.top.right.slideshow"";}}}",4
em0156-hellomarketsidebar-main-content-top-right-two-banners,cms_static_block,frontend/Emthemes/hellomarket_hellomarketsidebar,"EM0156 HelloMarket - Sidebar Store - Main Content Top Right - Two Banners","a:1:{i:0;a:2:{s:10:""page_group"";s:5:""pages"";s:5:""pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:15:""cms_index_index"";s:5:""block"";s:22:""main.content.top.right"";}}}",6
em0156-hellomarketsidebar-main-content-top-right-fashion,cms_static_block,frontend/Emthemes/hellomarket_hellomarketsidebar,"EM0156 HelloMarket - Sidebar Store - Main Content Top Right - Fashion","a:1:{i:0;a:2:{s:10:""page_group"";s:5:""pages"";s:5:""pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:15:""cms_index_index"";s:5:""block"";s:22:""main.content.top.right"";}}}",8
em0156-hellomarketsidebar-main-content-top-right-electronic,cms_static_block,frontend/Emthemes/hellomarket_hellomarketsidebar,"EM0156 HelloMarket - Sidebar Store - Main Content Top Right - Electronic","a:1:{i:0;a:2:{s:10:""page_group"";s:5:""pages"";s:5:""pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:15:""cms_index_index"";s:5:""block"";s:22:""main.content.top.right"";}}}",10
em0156-hellomarketsidebar-main-content-top-right-home-tools,cms_static_block,frontend/Emthemes/hellomarket_hellomarketsidebar,"EM0156 HelloMarket - Sidebar Store - Main Content Top Right - Phone & Accessories","a:1:{i:0;a:2:{s:10:""page_group"";s:5:""pages"";s:5:""pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:15:""cms_index_index"";s:5:""block"";s:22:""main.content.top.right"";}}}",12
em0156-hellomarketsidebar-main-content-area-introduction,cms_static_block,frontend/Emthemes/hellomarket_hellomarketsidebar,"EM0156 HelloMarket - Sidebar Store - Main Content Area - Introduction","a:1:{i:0;a:2:{s:10:""page_group"";s:9:""all_pages"";s:9:""all_pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:7:""default"";s:5:""block"";s:11:""page.bottom"";}}}",16
em0156-hellomarketsidebar-footer-top,cms_static_block,frontend/Emthemes/hellomarket_hellomarketsidebar,"EM0156 HelloMarket - Sidebar Store - Footer Top","a:1:{i:0;a:2:{s:10:""page_group"";s:9:""all_pages"";s:9:""all_pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:7:""default"";s:5:""block"";s:10:""footer_top"";}}}",18
em0156-hellomarketsidebar-main-content-top-right-deal-tabs,cms_static_block,frontend/Emthemes/hellomarket_hellomarketsidebar,"EM0156 HelloMarket - Sidebar Store - Main Content Top Right - Deal Tabs","a:1:{i:0;a:2:{s:10:""page_group"";s:5:""pages"";s:5:""pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:15:""cms_index_index"";s:5:""block"";s:22:""main.content.top.right"";}}}",0
em0156-default-header-panel-right-social-links,cms_static_block,frontend/Emthemes/hellomarket_hellomarketsidebar,"EM0156 HelloMarket - Default - Header Panel Right - Social Links","a:1:{i:0;a:2:{s:10:""page_group"";s:9:""all_pages"";s:9:""all_pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:7:""default"";s:5:""block"";s:18:""header.panel.right"";}}}",0
em0156-default-area-navigation-top-menu,cms_static_block,frontend/Emthemes/hellomarket_hellomarketsidebar,"EM0156 HelloMarket - Sidebar Store - Area Navigation - Top Menu","a:1:{i:0;a:2:{s:10:""page_group"";s:9:""all_pages"";s:9:""all_pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:7:""default"";s:5:""block"";s:13:""topNavigation"";}}}",0
em0156-hellomarketsidebar-main-content-bottom-right-banners-detail,cms_static_block,frontend/Emthemes/hellomarket_hellomarketsidebar,"EM0156 HelloMarket - Default - Main Content Bottom Right - Banners Detail","a:1:{i:0;a:2:{s:10:""page_group"";s:5:""pages"";s:5:""pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:20:""catalog_product_view"";s:5:""block"";s:25:""product_info_bottom.right"";}}}",2
em0156-sidebar-store-main-content-top-right-mom-&-baby,cms_static_block,frontend/Emthemes/hellomarket_hellomarketsidebar,"EM0156 HelloMarket - Sidebar Store - Main Content Top Right - Mom & Baby","a:1:{i:0;a:2:{s:10:""page_group"";s:5:""pages"";s:5:""pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:15:""cms_index_index"";s:5:""block"";s:22:""main.content.top.right"";}}}",12
em0156-sidebar-store-main-content-top-right-beauty-&-health,cms_static_block,frontend/Emthemes/hellomarket_hellomarketsidebar,"EM0156 HelloMarket - Sidebar Store - Main Content Top Right - Beauty & Health","a:1:{i:0;a:2:{s:10:""page_group"";s:5:""pages"";s:5:""pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:15:""cms_index_index"";s:5:""block"";s:22:""main.content.top.right"";}}}",13
em0156-sidebar-store-footer-top-newsletter-contact,cms_static_block,frontend/Emthemes/hellomarket_hellomarketsidebar,"EM0156 HelloMarket - Sidebar Store - Footer Top - Newsletter - Contact","a:1:{i:0;a:2:{s:10:""page_group"";s:9:""all_pages"";s:9:""all_pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:7:""default"";s:5:""block"";s:10:""footer_top"";}}}",17
em0156-sidebar-store-footer-area2-payment,cms_static_block,frontend/Emthemes/hellomarket_hellomarketsidebar,"EM0156 HelloMarket - Sidebar Store - Footer Area 2 - Payment","a:1:{i:0;a:2:{s:10:""page_group"";s:9:""all_pages"";s:9:""all_pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:7:""default"";s:5:""block"";s:13:""footer.area.2"";}}}",2
"EM0156-helloMarket -sidebarstore -main-content-top-left-banners-and-popular-product",cms_static_block,frontend/Emthemes/hellomarket_hellomarketsidebar,"EM0156 HelloMarket - Sidebar Store - Main Content Top Left - Banners And Populer Products","a:1:{i:0;a:2:{s:10:""page_group"";s:5:""pages"";s:5:""pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:15:""cms_index_index"";s:5:""block"";s:23:""main.top.left.scrollbar"";}}}",4
